2023|1|1|3|20|39|0|0|Jung Kook of BTS|Dreamers|Dreamers|2
2023|1|1|3|23|54|1|0|Bill Withers|Use Me|The Essential Bill Withers|2
2023|1|1|3|27|23|0|0||||2
2023|1|1|3|27|36|0|0|The Prodigy|Out of Space|Their Law The Singles 1990 - 2005|2
2023|1|1|3|32|35|0|0||||2
2023|1|1|3|33|1|0|0|Johnny Cash|One Piece at a Time (Album Version)|The Essential Johnny Cash|2
2023|1|1|3|36|56|0|0|Buddy Guy|House Party|The Blues Don't Lie|2
2023|1|1|3|39|51|0|1|AC/DC|Hells Bells|Back In Black|2
2023|1|1|3|45|3|1|0|My Chemical Romance|The Foundations of Decay|The Foundations of Decay|2
2023|1|1|3|50|58|0|0|The Go-Go's|Our Lips Are Sealed|Beauty And The Beat|2
2023|1|1|3|53|39|0|0|Bowling For Soup|Ohio (Come Back To Texas)|A Hangover You Don't Deserve|2
2023|1|1|3|57|23|0|0||||2
2023|1|1|3|57|32|0|0|Red Hot Chili Peppers|Under the Bridge  (2014 Remaster)|Blood Sugar Sex Magik|2
2023|1|1|4|1|53|1|0|Sophie B. Hawkins|Damn I Wish I Was Your Lover (Album Version)|The Best Of Sophie B. Hawkins|2
2023|1|1|4|7|6|0|0|The Beatles|Across The Universe (2021 Mix)|Let It Be|2
2023|1|1|4|10|43|1|0|Vicky|Top Notch Gabru|Top Notch Gabru|2
2023|1|1|4|13|17|1|0|Led Zeppelin|Gallows Pole  (Remaster)|Led Zeppelin III (HD Remastered Edition)|2
2023|1|1|4|18|2|0|0||||2
2023|1|1|4|18|24|0|0|Bad Omens|Just Pretend|THE DEATH OF PEACE OF MIND|2
2023|1|1|4|21|44|0|0||||2
2023|1|1|4|21|59|0|0|David Bowie|Ziggy Stardust  (2012 Remaster)|The Rise and Fall of Ziggy Stardust and the Spiders from Mars |2
2023|1|1|4|25|6|0|1|La Bouche|Be My Lover|Greatest Hits|2
2023|1|1|4|29|4|0|0||||2
2023|1|1|4|29|7|0|0|Gojira|Flying Whales|From Mars to Sirius|2
2023|1|1|4|36|48|0|0|Stevie Nicks|Edge of Seventeen  (2016 Remaster)|Bella Donna |1
2023|1|1|4|42|7|0|0||||1
2023|1|1|4|42|21|0|0|Zedd|Clarity|Clarity|1
2023|1|1|4|46|45|3|0|Santana|Oye Como Va|Abraxas|1
2023|1|1|4|50|59|1|2|Lisa Lisa & Cult Jam|Can You Feel The Beat (Album Version)|Playlist: The Very Best Of Lisa Lisa & Cult Jam|1
2023|1|1|4|55|50|1|1|Fall Out Boy|Wilson (Expensive Mistakes)|MANIA|1
2023|1|1|4|59|23|0|1|Nirvana|All Apologies (Live Version)|MTV Unplugged In New York|1
2023|1|1|5|3|45|0|1|Molly Moore|Hate Myself|Hate Myself|1
2023|1|1|5|6|4|0|1|Of Monsters and Men|Little Talks|My Head Is An Animal|1
2023|1|1|5|10|11|0|1|The Georgia Satellites|Keep Your Hands to Yourself / It's Only Rock 'n' Roll  (Live)|Lightnin' in a Bottle: The Official Live Album|1
2023|1|1|5|15|54|0|1|Good Charlotte|The Anthem (Album Version)|The Young and The Hopeless|1
2023|1|1|5|18|47|0|1|America|A Horse with No Name (Album Version)|America's Greatest Hits - History|1
2023|1|1|5|22|51|0|1||||1
2023|1|1|5|23|4|0|1|Richard Armitage|Misty Mountains|The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack) |1
2023|1|1|5|24|39|0|1|Oingo Boingo|Weird Science (Album Version)|Dead Man's Party|1
2023|1|1|5|30|44|2|1||||1
2023|1|1|5|30|50|2|1|The Hot Sardines|After You've Gone (Live)|Welcome Home, Bon Voyage |1
2023|1|1|5|36|57|0|1|Stone Temple Pilots|Big Empty  (2019 Remaster)|Purple  |1
2023|1|1|5|41|46|1|1|THE GOO GOO DOLLS|Black Balloon|Dizzy up the Girl|1
2023|1|1|5|45|45|0|1||||1
2023|1|1|5|45|59|0|1|Big Country|In A Big Country|The Crossing|1
2023|1|1|5|50|32|1|1|David Bowie|Starman  (2012 Remaster)|The Rise and Fall of Ziggy Stardust and the Spiders from Mars |1
2023|1|1|5|54|34|0|1|Rob Zombie|Dragula (Album Version)|Hellbilly Deluxe|1
2023|1|1|5|58|17|0|1||||1
2023|1|1|5|58|36|0|1|Starset|Waiting On The Sky To Change|Waiting On The Sky To Change|1
2023|1|1|6|2|37|0|1|Lisa Lisa & Cult Jam|Let the Beat Hit 'Em (Album Version)|Playlist: The Very Best Of Lisa Lisa & Cult Jam|1
2023|1|1|6|7|12|0|1|Julian Lennon|Too Late For Goodbyes|Valotte|1
2023|1|1|6|10|33|1|1|A Touch Of Class / ATC|Around the World (La La La La La)  (Radio Version)|Planet Pop|1
2023|1|1|6|14|6|0|1|Afrojack & James Arthur|Lose You (Nicky Romero Remix - Radio Edit)|Lose You (Nicky Romero Remix)|1
2023|1|1|6|17|38|0|1|The Stranglers|Golden Brown|La Folie|1
2023|1|1|6|20|58|0|1||||2
2023|1|1|6|21|30|0|1|The Archies|Sugar, Sugar|Sugar Sugar|2
2023|1|1|6|24|9|0|1|Bishop Briggs|Revolution|Modern Rock Radio October 2022|2
2023|1|1|6|27|14|0|0|Alice In Chains|No Excuses (Album Version)|Jar Of Flies|2
2023|1|1|6|31|25|0|0||||2
2023|1|1|6|31|33|0|0|Kool & The Gang|Jungle Boogie|The Very Best Of Kool & The Gang|2
2023|1|1|6|34|35|0|0|Tom Petty And The Heartbreakers|Breakdown|The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016|2
2023|1|1|6|37|11|1|0|AC/DC|T.N.T.  (Live - 1991)|Live (Collector's Edition)|2
2023|1|1|6|40|56|1|1|Swing Out Sister|Breakout|It's Better To Travel|2
2023|1|1|6|44|31|0|0||||2
2023|1|1|6|44|43|0|0|Green Day|Holiday|Greatest Hits: God's Favorite Band|2
2023|1|1|6|48|36|0|0|Shaggy|Oh Carolina|The Best Of Shaggy|2
2023|1|1|6|51|46|1|0|Vampire Weekend|Unbelievers|Modern Vampires of the City|2
2023|1|1|6|55|5|2|0|Jane Child|Don't Wanna Fall in Love (Album Version)|Jane Child|2
2023|1|1|6|59|0|0|0|Soul Asylum|Black Gold (2022 Remaster) (Album Version)|Grave Dancers Union |2
2023|1|1|7|2|51|2|0|30 Seconds To Mars|City Of Angels|LOVE LUST FAITH + DREAMS|2
2023|1|1|7|7|44|0|0|Snow Patrol|You're All I Have (Reworked)|Reworked|2
2023|1|1|7|12|40|0|1|Superorganism|Everybody Wants To Be Famous|Superorganism|2
2023|1|1|7|15|43|0|2||||1
2023|1|1|7|15|52|0|2|Nelly Furtado|Maneater (Album Version)|Loose|1
2023|1|1|7|20|2|2|1|The Black Eyed Peas|My Humps|Monkey Business|1
2023|1|1|7|25|21|1|0|Led Zeppelin|How Many More Times  (Remaster)|Led Zeppelin (HD Remastered Edition)|1
2023|1|1|7|33|48|0|0||||1
2023|1|1|7|33|56|0|0|Eve 6|Inside Out|Eve 6|1
2023|1|1|7|37|25|2|0||||1
2023|1|1|7|37|51|2|0|The Beatles|I Am The Walrus (Remastered 2009)|Magical Mystery Tour|1
2023|1|1|7|42|13|1|0|D-Mob|C'Mon And Get My Love (feat. Cathy Dennis)  (7" Version)|C'Mon And Get My Love (feat. Cathy Dennis)|1
